product_code,fiscal_year,gross_sales_mln
A5119110308,2022,13.75
A5219110401,2022,13.42
A5219110402,2022,15.07
A5219110403,2022,13.88
A5219110405,2022,13.94
A5219110406,2022,14.31
A5219110407,2022,14.60
A5220110408,2022,15.95
A5318110103,2022,14.95
A5318110104,2022,15.21
A5318110105,2022,15.71
A5318110106,2022,14.31
A5318110107,2022,15.63
A5318110108,2022,14.91
A5419110201,2022,15.64
A5419110202,2022,15.04
A5419110203,2022,17.01
A5419110204,2022,16.06
A5419110205,2022,16.22
A5419110206,2022,15.68
A5419110207,2022,16.06
A5419110208,2022,16.92
A5519110301,2022,16.76
A5520110305,2022,16.72
A5520110306,2022,17.20
A5520110307,2022,17.00
A5520110308,2022,16.79
A5620110401,2022,15.92
A5620110402,2022,16.96
A5621110403,2022,16.57
A5621110404,2022,16.80
A5621110405,2022,16.53
A5621110406,2022,16.43
A5621110407,2022,17.01
A5621110408,2022,18.59
A5721110501,2022,15.84
A5721110502,2022,17.49
A5721110503,2022,18.22
A5721110504,2022,18.06
A5721110505,2022,18.40
A5721110506,2022,18.60
A5721110507,2022,19.14
A5721110508,2022,20.08
A5820110101,2022,20.02
A5820110102,2022,19.58
A5820110103,2022,20.66
A5820110104,2022,19.06
A5820110106,2022,17.61
A5820110107,2022,20.63
A5921110201,2022,20.52
A5921110202,2022,21.39
A5921110203,2022,19.47
A5921110204,2022,21.05
A5921110205,2022,22.58
A5921110206,2022,18.83
A5921110207,2022,21.82
A5921110208,2022,22.53
A6018110103,2022,19.75
A6018110104,2022,20.34
A6018110105,2022,17.79
A6018110106,2022,18.38
A6019110107,2022,20.38
A6019110108,2022,18.83
A6119110201,2022,20.57
A6119110202,2022,19.79
A6119110203,2022,17.99
A6119110204,2022,19.41
A6120110205,2022,20.18
A6120110206,2022,20.14
A6120110207,2022,18.90
A6121110208,2022,19.46
A6219160103,2022,3.21
A6319160201,2022,3.39
A6319160202,2022,3.74
A6319160203,2022,3.65
A6419160301,2022,3.54
A6419160302,2022,4.07
A6419160303,2022,3.62
A6519160401,2022,3.91
A6520160402,2022,3.87
A6520160403,2022,3.98
A6620160501,2022,4.18
A6620160502,2022,4.50
A6621160503,2022,4.65
A6720160103,2022,0.82
A6818160201,2022,0.58
A6818160202,2022,0.72
A6819160203,2022,0.92
A7219160201,2022,4.79
A7220160202,2022,5.19
A7220160203,2022,5.08
A7321160301,2022,5.82
A7321160302,2022,5.82
A7321160303,2022,5.59
